model,mean_rmse,std_rmse,elapsed_sec,alpha,hidden_layer_sizes,colsample_bytree,learning_rate,max_depth,n_estimators,subsample
ridge,1.1067465650996762,0.027645716665606907,2.4233601093292236,0.01,,,,,,
ridge,1.1067438911261196,0.02764071100213171,1.6061921119689941,0.1,,,,,,
ridge,1.1067298957405352,0.02760477783085827,1.5541355609893799,1.0,,,,,,
ridge,1.1067872688833815,0.02758082601775474,1.5547196865081787,10.0,,,,,,
ridge,1.1069723365759159,0.02764436884227895,0.5293014049530029,100.0,,,,,,
mlp,0.8452384927985628,0.017455328720159417,36.19720482826233,1e-05,"(100,)",,,,,
mlp,0.8524411317872026,0.02016985862176058,63.0519642829895,1e-05,"(200,)",,,,,
mlp,0.7404394288408702,0.011859174761672215,64.76782608032227,1e-05,"(100, 100)",,,,,
mlp,0.8394149830788986,0.01850421307700233,38.318469524383545,0.0001,"(100,)",,,,,
mlp,0.850956805204075,0.01802345959425511,85.95068073272705,0.0001,"(200,)",,,,,
mlp,0.7631671158726568,0.02466525724776028,66.94839406013489,0.0001,"(100, 100)",,,,,
mlp,0.8429608057145034,0.020925782065771746,50.43287420272827,0.001,"(100,)",,,,,
mlp,0.849238157242484,0.020118941810065457,41.397003412246704,0.001,"(200,)",,,,,
mlp,0.7416432222486784,0.010830546495736032,59.87118983268738,0.001,"(100, 100)",,,,,
xgb,0.8955349566102424,0.02913764870448259,10.043218851089478,,,0.8,0.03,4.0,300.0,0.8
xgb,0.8986274225195754,0.028757998196313788,10.031684160232544,,,0.8,0.03,4.0,300.0,1.0
xgb,0.8453162277810398,0.02688443463629734,17.149311065673828,,,0.8,0.03,4.0,600.0,0.8
xgb,0.8532624061711515,0.02807717675474256,16.666857957839966,,,0.8,0.03,4.0,600.0,1.0
xgb,0.8114949775197898,0.024609200709988045,14.779446125030518,,,0.8,0.03,6.0,300.0,0.8
xgb,0.816866506866725,0.027517438413336925,15.332166194915771,,,0.8,0.03,6.0,300.0,1.0
xgb,0.7670394256728016,0.02245252834153819,24.775141716003418,,,0.8,0.03,6.0,600.0,0.8
xgb,0.7746839541371852,0.025345318782446943,24.894811630249023,,,0.8,0.03,6.0,600.0,1.0
xgb,0.8097360364134165,0.021540577068604492,9.297054529190063,,,0.8,0.1,4.0,300.0,0.8
xgb,0.8184905437382876,0.02537570685522499,9.3881254196167,,,0.8,0.1,4.0,300.0,1.0
xgb,0.7670615285219814,0.0194098478799432,16.34438920021057,,,0.8,0.1,4.0,600.0,0.8
xgb,0.7713538224058152,0.021667147372144313,16.112061262130737,,,0.8,0.1,4.0,600.0,1.0
xgb,0.741390959608636,0.020890124762614832,12.727025032043457,,,0.8,0.1,6.0,300.0,0.8
xgb,0.7503398818017267,0.02471123654184218,12.868060827255249,,,0.8,0.1,6.0,300.0,1.0
xgb,0.7119757414776784,0.022239028088285887,21.56615447998047,,,0.8,0.1,6.0,600.0,0.8
xgb,0.7187889497542321,0.02448419449670772,22.36863088607788,,,0.8,0.1,6.0,600.0,1.0
xgb,0.8950300265322,0.02885664505371481,10.422810554504395,,,1.0,0.03,4.0,300.0,0.8
xgb,0.8993008716374389,0.029526774454909924,10.282222509384155,,,1.0,0.03,4.0,300.0,1.0
xgb,0.8445014744276275,0.02667731939924442,17.40060830116272,,,1.0,0.03,4.0,600.0,0.8
xgb,0.8541295702568998,0.027294696078281947,17.309666633605957,,,1.0,0.03,4.0,600.0,1.0
xgb,0.8127742755485352,0.0249600007485698,16.296767473220825,,,1.0,0.03,6.0,300.0,0.8
xgb,0.8181518235942397,0.028347191203917994,15.502459049224854,,,1.0,0.03,6.0,300.0,1.0
xgb,0.7672573804058309,0.02245325091809788,25.929935455322266,,,1.0,0.03,6.0,600.0,0.8
xgb,0.777528931920918,0.02481085502481155,26.79429006576538,,,1.0,0.03,6.0,600.0,1.0
xgb,0.8132668235305001,0.024273353839601056,9.507396221160889,,,1.0,0.1,4.0,300.0,0.8
xgb,0.816780505313132,0.026038134844162345,9.730297327041626,,,1.0,0.1,4.0,300.0,1.0
xgb,0.7687718092808777,0.022620846188531076,16.877168655395508,,,1.0,0.1,4.0,600.0,0.8
xgb,0.7707729570472104,0.02274404771840688,16.273439645767212,,,1.0,0.1,4.0,600.0,1.0
xgb,0.7479781823695195,0.02144559557438076,13.289897441864014,,,1.0,0.1,6.0,300.0,0.8
xgb,0.750224373957819,0.026738696632854227,13.55115795135498,,,1.0,0.1,6.0,300.0,1.0
xgb,0.7175058817905613,0.021061078025544144,27.145408630371094,,,1.0,0.1,6.0,600.0,0.8
xgb,0.7192620989164088,0.02662696759229448,23.819282054901123,,,1.0,0.1,6.0,600.0,1.0
rf,1.0586189742042436,0.03151877511354393,77.62358617782593,,,,,5.0,200.0,
rf,1.0582209578360726,0.03118316262380786,152.9568908214569,,,,,5.0,400.0,
rf,1.0586766571041895,0.031149984838049934,301.49389696121216,,,,,5.0,800.0,
rf,0.8778546052370416,0.028899843303870857,136.9024932384491,,,,,10.0,200.0,
rf,0.8773693950862382,0.028774703475901168,270.1264741420746,,,,,10.0,400.0,
rf,0.8776762300370278,0.028795259544058715,531.4028789997101,,,,,10.0,800.0,
rf,0.7372225447037494,0.028056701435238297,239.4900360107422,,,,,20.0,200.0,
rf,0.7359269208722912,0.028265179376999676,469.9525122642517,,,,,20.0,400.0,
rf,0.7353143996993843,0.027729734040017114,932.76726603508,,,,,20.0,800.0,
