column,zero_count,zero_fraction
Og,66403,1.0
Cf,66403,1.0
Lr,66403,1.0
Xe,66403,1.0
No,66403,1.0
Md,66403,1.0
Fm,66403,1.0
Es,66403,1.0
Bk,66403,1.0
Ar,66403,1.0
Cm,66403,1.0
Am,66403,1.0
Po,66403,1.0
At,66403,1.0
Rn,66403,1.0
Kr,66403,1.0
Ra,66403,1.0
Rf,66403,1.0
Db,66403,1.0
Cn,66403,1.0
Ts,66403,1.0
He,66403,1.0
Lv,66403,1.0
Mc,66403,1.0
Fl,66403,1.0
Sg,66403,1.0
Nh,66403,1.0
Ne,66403,1.0
Rg,66403,1.0
Ds,66403,1.0
Mt,66403,1.0
Hs,66403,1.0
Bh,66403,1.0
Fr,66403,1.0
Pa,66259,0.9978314232790687
Np,66244,0.9976055298706383
Pu,66239,0.9975302320678283
Ac,66234,0.9974549342650182
Tc,66173,0.9965363010707348
Pm,66119,0.9957230848003855
Be,65895,0.9923497432344924
Os,65893,0.9923196241133684
Th,65864,0.9918828968570698
Re,65797,0.9908739062994142
Hf,65509,0.9865367528575516
Gd,65488,0.9862205020857492
Lu,65447,0.9856030601027062
Ir,65437,0.985452464497086
Tm,65427,0.9853018688914658
Hg,65391,0.984759724711233
Eu,65385,0.9846693673478608
Yb,65380,0.9845940695450507
Sc,65346,0.9840820444859419
Pt,65286,0.9831784708522205
Tb,65270,0.9829375178832281
Ru,65233,0.9823803141424333
U,65220,0.982184539855127
Ho,65218,0.9821544207340029
Au,65209,0.9820188846889448
Dy,65200,0.9818833486438866
Ta,65143,0.9810249536918513
Er,65120,0.9806785837989247
Rh,65095,0.9803020947848742
Br,65014,0.9790822703793504
Tl,65012,0.9790521512582263
Sm,64996,0.9788111982892339
I,64983,0.9786154240019276
Pd,64981,0.9785853048808035
Zr,64961,0.9782841136695631
Cd,64956,0.978208815866753
Pb,64951,0.9781335180639429
Pr,64935,0.9778925650949505
Ce,64813,0.9760552987063837
Nd,64790,0.9757089288134573
As,64506,0.9714320136138428
Nb,64498,0.9713115371293466
Ag,64496,0.9712814180082225
Y,64424,0.9701971296477568
In,64370,0.9693839133774077
W,64365,0.9693086155745976
Cs,64360,0.9692333177717875
Rb,64280,0.9680285529268255
Bi,64275,0.9679532551240155
Sb,63978,0.9634805656370947
La,63940,0.9629083023357379
Te,63930,0.9627577067301176
Ga,63910,0.9624565155188771
Mo,63833,0.9612969293556014
Ge,63750,0.9600469858289535
Sn,63715,0.9595199012092828
Sr,63684,0.95905305483186
Zn,63661,0.9587066849389335
Cl,63563,0.9572308480038553
Cr,63550,0.957035073716549
Ti,63246,0.9524569673056941
C,63195,0.9516889297170309
Ca,63194,0.9516738701564689
N,63176,0.9514027980663524
Se,63111,0.9504239266298209
B,63082,0.9499871993735223
Al,62995,0.9486770176046263
Ba,62985,0.948526421999006
K,62795,0.9456651054922217
Na,62282,0.937939550923904
Si,62254,0.9375178832281674
Ni,62182,0.9364335948677017
V,62172,0.9362829992620816
Co,62166,0.9361926418987094
Mg,61910,0.9323373943948315
Cu,61831,0.9311476891104318
H,61518,0.9264340466545187
Mn,61427,0.9250636266433745
F,61187,0.9214493321084891
S,60706,0.9142056834781561
Fe,60620,0.9129105612698222
P,57637,0.8679878921133082
Li,55975,0.8429589024592262
O,34533,0.5200518048883334
