column,zero_count,zero_fraction
MagpieData minimum GSmagmom,66322,0.9987801755944762
MagpieData minimum NfUnfilled,66214,0.9971537430537777
MagpieData minimum NsUnfilled,66141,0.9960543951327501
MagpieData minimum GSbandgap,65922,0.992756351369667
MagpieData minimum NfValence,65529,0.9868379440687921
MagpieData minimum NdUnfilled,65235,0.9824104332635574
MagpieData mode NfUnfilled,64834,0.9763715494781863
MagpieData minimum NpValence,64349,0.9690676626056052
MagpieData minimum NpUnfilled,64349,0.9690676626056052
MagpieData mode GSmagmom,63705,0.9593693056036625
MagpieData mode NfValence,62663,0.9436772434980347
MagpieData mode NsUnfilled,61075,0.9197626613255425
MagpieData mode NdUnfilled,60657,0.913467765010617
MagpieData minimum NdValence,59555,0.8968721292712679
MagpieData avg_dev NfUnfilled,51398,0.7740312937668479
MagpieData range NfUnfilled,51398,0.7740312937668479
MagpieData maximum NfUnfilled,51361,0.773474090026053
MagpieData mean NfUnfilled,51361,0.773474090026053
MagpieData mode NdValence,50243,0.7566375013177116
MagpieData mode GSbandgap,49873,0.7510654639097631
MagpieData range GSmagmom,44386,0.668433655105944
MagpieData avg_dev GSmagmom,44386,0.668433655105944
MagpieData maximum GSmagmom,44380,0.6683432977425718
MagpieData mean GSmagmom,44380,0.6683432977425718
MagpieData avg_dev NfValence,39176,0.5899733445778053
MagpieData range NfValence,39176,0.5899733445778053
MagpieData mean NfValence,38943,0.586464466966854
MagpieData maximum NfValence,38943,0.586464466966854
MagpieData avg_dev NsUnfilled,29428,0.443172748219207
MagpieData range NsUnfilled,29428,0.443172748219207
MagpieData mean NsUnfilled,29166,0.439227143351957
MagpieData maximum NsUnfilled,29166,0.439227143351957
MagpieData avg_dev NsValence,28375,0.427315030947397
MagpieData range NsValence,28375,0.427315030947397
MagpieData range GSbandgap,26972,0.406186467478879
MagpieData avg_dev GSbandgap,26971,0.40617140791831696
MagpieData mean GSbandgap,26888,0.40492146439166904
MagpieData maximum GSbandgap,26888,0.40492146439166904
MagpieData avg_dev NdUnfilled,23090,0.34772525337710647
MagpieData range NdUnfilled,23090,0.34772525337710647
MagpieData mean NdUnfilled,22978,0.3460385825941599
MagpieData maximum NdUnfilled,22978,0.3460385825941599
MagpieData mode NpValence,20899,0.3147297561857145
MagpieData mode NpUnfilled,20899,0.3147297561857145
MagpieData minimum NUnfilled,19137,0.28819481047543033
MagpieData range NdValence,7812,0.11764528711052212
MagpieData avg_dev NdValence,7812,0.11764528711052212
MagpieData mean NdValence,6569,0.09892625333192777
MagpieData maximum NdValence,6569,0.09892625333192777
MagpieData range NpUnfilled,6454,0.09719440386729515
MagpieData avg_dev NpUnfilled,6454,0.09719440386729515
MagpieData range NpValence,6454,0.09719440386729515
MagpieData avg_dev NpValence,6454,0.09719440386729515
MagpieData maximum NpUnfilled,6277,0.09452886164781711
MagpieData mean NpUnfilled,6277,0.09452886164781711
MagpieData maximum NpValence,6277,0.09452886164781711
MagpieData mean NpValence,6277,0.09452886164781711
MagpieData mode NUnfilled,4646,0.06996671837115793
MagpieData avg_dev Row,2704,0.04072105175970965
MagpieData range Row,2704,0.04072105175970965
MagpieData range SpaceGroupNumber,2632,0.03963676339924401
MagpieData avg_dev SpaceGroupNumber,2632,0.03963676339924401
MagpieData range NUnfilled,1661,0.025013930093519873
MagpieData avg_dev NUnfilled,1661,0.025013930093519873
MagpieData minimum NsValence,1422,0.02141469511919642
MagpieData avg_dev Column,856,0.012890983841091518
MagpieData range Column,856,0.012890983841091518
MagpieData avg_dev NValence,839,0.01263497131153713
MagpieData range NValence,839,0.01263497131153713
MagpieData mode NsValence,774,0.011656099875005647
MagpieData range CovalentRadius,397,0.005978645543123052
MagpieData avg_dev CovalentRadius,397,0.005978645543123052
MagpieData maximum NUnfilled,392,0.0059033477403129375
MagpieData mean NUnfilled,392,0.0059033477403129375
MagpieData range Electronegativity,348,0.005240727075583935
MagpieData avg_dev Electronegativity,339,0.005105191030525729
MagpieData range MeltingT,319,0.004803999819285273
MagpieData range AtomicWeight,319,0.004803999819285273
MagpieData range MendeleevNumber,319,0.004803999819285273
MagpieData avg_dev MendeleevNumber,319,0.004803999819285273
MagpieData avg_dev Number,319,0.004803999819285273
MagpieData range GSvolume_pa,319,0.004803999819285273
MagpieData range Number,319,0.004803999819285273
MagpieData avg_dev AtomicWeight,316,0.0047588211375992045
MagpieData avg_dev MeltingT,315,0.004743761577037182
MagpieData avg_dev GSvolume_pa,313,0.004713642455913137
MagpieData maximum NsValence,2,3.0119121124045602e-05
MagpieData mean NsValence,2,3.0119121124045602e-05
